Origin;Ship to Country code;Ship to simplified postcode 2 digits;Minimum;<=50kg;<=100kg;<=200;<=400;<=800;<=1500;<=5000;<=10000;<=15000;FTL;Carrier Leadtime in working days;Custom Clearance;DG Surcharge per shipment;Distance
CH00;PL;98;44;288.0592;103.84;60.9488;47.1152;27.8432;30.976;34.1616;25.1856;17.3712;2245.76;2;33;0;1324.116371
CH00;PL;97;44.5;291.3326;105.02;61.6414;47.6506;28.1596;31.328;34.5498;25.4718;17.5686;2271.28;2;33;0;1386.897728
CH01;PL;62;42.64;131.9872;99.9908;63.8124;41.7544;23.9604;37.31;29.684;23.4684;16.1868;2084.44;2;33;0;1321.526225
CH01;PL;07;19.76;84.9604;41.5948;18.4224;14.3564;11.6052;10.7996;11.8332;9.7964;7.5012;969.76;2;33;0;1627.985187
CH01;PL;09;17.16;73.7814;36.1218;15.9984;12.4674;10.0782;9.3786;10.2762;8.5074;6.5142;842.16;2;33;0;1489.59101
CH00;FR;14;35.42;174.9132;75.8296;55.6248;52.8066;49.6496;41.195;22.3916;8.3006;5.698;1775.62;2;39;0;701.0627144
CH00;TR;59;125.66;251.0089;128.3196;63.2631;29.7497;14.2618;10.6811;11.5839;12.6575;12.0536;2499.78;5;0;0;2180.20119
CH00;TR;41;199.82;399.1453;204.0492;100.5987;47.3069;22.6786;16.9847;18.4203;20.1275;19.1672;3975.06;5;0;0;2431.034593
CH00;IT;24;33.25;135.527;68.2556;19.7505;14.2709;10.0149;10.2011;12.4089;14.7896;13.6591;2041.55;2;38;0;351.124233
CH00;IT;50;32.75;133.489;67.2292;19.4535;14.0563;9.8643;10.0477;12.2223;14.5672;13.4537;2010.85;4;38;0;592.2539359
CH00;IT;25;41.75;170.173;85.7044;24.7995;17.9191;12.5751;12.8089;15.5811;18.5704;17.1509;2563.45;2;38;0;402.4647096
CH00;ES;30;37.63;106.1805;46.6541;21.7189;13.9799;6.9793;5.3747;5.1404;4.6434;3.5926;880.4;4;38;0;1340.603986
CH00;ES;17;90.1;254.235;111.707;52.003;33.473;16.711;12.869;12.308;11.118;8.602;2108;2;38;0;638.151993
CH00;ES;28;64.13;180.9555;79.5091;37.0139;23.8249;11.8943;9.1597;8.7604;7.9134;6.1226;1500.4;3;38;0;1228.094145
CH00;ES;29;73.14;206.379;90.6798;42.2142;27.1722;13.5654;10.4466;9.9912;9.0252;6.9828;1711.2;4;38;0;1660.530877
CH00;NL;14;26.6;122.122;64.218;45.388;20.678;11.886;9.674;14.084;15.246;12.166;2360.4;2;38;0;840.295646
CH00;FR;49;13.57;67.0122;29.0516;21.3108;20.2311;19.0216;15.7825;8.5786;3.1801;2.183;680.27;2;39;0;631.6780432
CH00;BE;68;42.12;220.6152;85.02;58.3128;29.2188;17.1132;17.0508;19.266;17.7372;16.6764;2687.88;1;42;0;495.201103
CH00;IT;30;36.25;147.755;74.414;21.5325;15.5585;10.9185;11.1215;13.5285;16.124;14.8915;2225.75;3;38;0;601.4029106
CH00;FR;27;24.61;121.5306;52.6868;38.6484;36.6903;34.4968;28.6225;15.5578;5.7673;3.959;1233.71;1;39;0;601.7716525
CH00;FR;59;22.77;112.4442;48.7476;35.7588;33.9471;31.9176;26.4825;14.3946;5.3361;3.663;1141.47;1;39;0;630.1651731
CH00;FR;24;12.88;63.6048;27.5744;20.2272;19.2024;18.0544;14.98;8.1424;3.0184;2.072;645.68;2;39;0;524.0582577
CH00;FR;78;26.68;131.7528;57.1184;41.8992;39.7764;37.3984;31.03;16.8664;6.2524;4.292;1337.48;1;39;0;513.4350117
CH00;NL;64;33.44;153.5248;80.7312;57.0592;25.9952;14.9424;12.1616;17.7056;19.1664;15.2944;2967.36;2;38;0;630.218906
CH00;FR;07;28.29;139.7034;60.5652;44.4276;42.1767;39.6552;32.9025;17.8842;6.6297;4.551;1418.19;1;39;0;241.2923726
CH00;IT;46;27;110.052;55.4256;16.038;11.5884;8.1324;8.2836;10.0764;12.0096;11.0916;1657.8;3;38;0;467.4558928
CH00;ES;06;44.52;125.622;55.1964;25.6956;16.5396;8.2572;6.3588;6.0816;5.4936;4.2504;1041.6;4;38;0;1580.525736
CH00;IT;38;39;158.964;80.0592;23.166;16.7388;11.7468;11.9652;14.5548;17.3472;16.0212;2394.6;3;38;0;472.6881108
CH01;ES;46;35.51;100.1985;44.0257;20.4953;13.1923;6.5861;5.0719;4.8508;4.3818;3.3902;830.8;3;38;0;1133.045653
CH01;BE;35;45.09;236.1714;91.015;62.4246;31.2791;18.3199;18.2531;20.6245;18.9879;17.8523;2877.41;1;42;0;644.283715
CH01;PT;62;25.44;114.8404;46.2107;20.0817;17.8398;12.7783;11.6388;12.1264;12.2483;10.4145;2108.34;5;38;0;1554.812047
CH01;BE;21;25.11;131.5206;50.685;34.7634;17.4189;10.2021;10.1649;11.4855;10.5741;9.9417;1602.39;1;42;0;688.5165668
CH00;SE;17;270.72;1104.7296;453.1008;257.5872;168.5568;139.3536;123.1104;94.5792;68.0448;59.2512;10368;5;36;0;2011.08194
CH00;DE;20;8.45;42.9065;38.8765;24.1995;18.7265;12.649;9.7565;8.0145;6.565;5.6615;1022.45;1;32;0;1042.345421
CH00;DE;04;7.8;39.606;35.886;22.338;17.286;11.676;9.006;7.398;6.06;5.226;943.8;1;32;0;903.1262905
CH00;DE;22;12.35;62.7095;56.8195;35.3685;27.3695;18.487;14.2595;11.7135;9.595;8.2745;1494.35;1;32;0;1048.123706
CH00;DE;36;17;81.651;82.994;51.034;39.151;25.534;19.669;16.813;14.535;12.529;2305.2;1;32;0;686.789124
CH00;CH;88;19.8;168.168;39.6;28.49;17.875;10.923;8.327;4.411;4.895;2.354;510.4;1;0;0;295.8396185
CH00;DE;37;10.6;50.9118;51.7492;31.8212;24.4118;15.9212;12.2642;10.4834;9.063;7.8122;1437.36;1;32;0;795.4726058
CH00;DE;56;10.4;49.9512;50.7728;31.2208;23.9512;15.6208;12.0328;10.2856;8.892;7.6648;1410.24;1;32;0;570.5849591
CH00;DE;41;9.4;45.1482;45.8908;28.2188;21.6482;14.1188;10.8758;9.2966;8.037;6.9278;1274.64;1;32;0;666.5628652
CH00;DE;47;16.6;79.7298;81.0412;49.8332;38.2298;24.9332;19.2062;16.4174;14.193;12.2342;2250.96;1;32;0;710.0771156
CH00;DE;64;17.7;85.0131;86.4114;53.1354;40.7631;26.5854;20.4789;17.5053;15.1335;13.0449;2400.12;1;32;0;539.1282827
CH01;DK;57;107.97;358.9206;244.1184;167.9022;121.068;76.9242;64.4634;68.6406;44.4624;33.3822;5731.26;3;36;0;1261.655504
CH01;DE;33;19.2;92.2176;93.7344;57.6384;44.2176;28.8384;22.2144;18.9888;16.416;14.1504;2603.52;1;32;0;797.2802103
CH01;DE;13;12.74;64.6898;58.6138;36.4854;28.2338;19.0708;14.7098;12.0834;9.898;8.5358;1541.54;1;32;0;1064.846367
CH01;DE;46;8.1;38.9043;39.5442;24.3162;18.6543;12.1662;9.3717;8.0109;6.9255;5.9697;1098.36;1;32;0;741.9029755
CH01;DK;67;79.52;276.332;170.7834;128.8224;75.9416;44.375;47.6836;55.0676;33.6682;25.0772;4413.36;4;36;0;1258.259289
CH01;DE;99;13.2;63.3996;64.4424;39.6264;30.3996;19.8264;15.2724;13.0548;11.286;9.7284;1789.92;1;32;0;784.1079224
CH01;DE;27;24.05;122.1185;110.6485;68.8755;53.2985;36.001;27.7685;22.8105;18.685;16.1135;2910.05;1;32;0;969.1989277
CH01;DE;39;18.9;90.7767;92.2698;56.7378;43.5267;28.3878;21.8673;18.6921;16.1595;13.9293;2562.84;1;32;0;958.7058293
CH01;DE;01;17.68;89.7736;81.3416;50.6328;39.1816;26.4656;20.4136;16.7688;13.736;11.8456;2139.28;2;32;0;956.3007652
FR01;DE;40;37.18;155.0406;95.953;62.1335;51.48;39.2964;31.3742;21.9362;14.7719;12.1836;1894.75;1;0;0;695.1403681
FR01;DE;47;52;216.84;134.2;86.9;72;54.96;43.88;30.68;20.66;17.04;2650;1;0;0;729.2313357
FR01;DE;20;39.73;172.1679;106.3668;69.0069;56.9098;43.4838;34.5788;24.2216;16.1934;13.426;2100.21;1;0;0;1055.234213
FR01;GR;32;54.02;167.3362;77.1376;45.6654;32.9818;27.5502;26.1146;23.3248;23.4728;19.0994;2898.58;5;0;0;1966.109046
FR01;DE;21;48.43;209.8689;129.6588;84.1179;69.3718;53.0058;42.1508;29.5256;19.7394;16.366;2560.11;1;0;0;1045.516763
FR01;NL;50;46.9;195.6668;86.1218;61.3184;37.6272;28.4348;23.4098;20.77;16.8572;13.1052;2198.94;2;0;0;744.7289421
FR01;AT;62;100.8;489.3408;194.2992;99.504;76.2624;61.3728;55.7568;40.8672;32.6592;27.0432;2751.84;2;0;0;542.3603103
CH01;DE;86;6.6;31.6998;32.2212;19.8132;15.1998;9.9132;7.6362;6.5274;5.643;4.8642;894.96;1;32;0;524.520736
CH00;PL;61;17.42;53.9216;40.8499;26.0697;17.0582;9.7887;15.2425;12.127;9.5877;6.6129;851.57;2;33;0;1265.978745
CH00;PL;47;15.6;67.074;32.838;14.544;11.334;9.162;8.526;9.342;7.734;5.922;765.6;2;33;0;1218.703545
CH01;CZ;25;78.52;183.6009;114.2919;63.3596;35.0773;22.65;22.2272;13.2276;13.9977;14.4205;2547.37;4;36;0;915.2105925
CH01;AT;21;64.38;349.2528;146.7516;67.3728;46.9104;34.278;32.9556;28.0488;26.9526;22.8288;2556.06;2;36;0;1001.984962
CH00;DE;32;10;48.03;48.82;30.02;23.03;15.02;11.57;9.89;8.55;7.37;1356;2;32;0;832.8888876
CH00;FR;29;27.37;135.1602;58.5956;42.9828;40.8051;38.3656;31.8325;17.3026;6.4141;4.403;1372.07;2;39;0;972.3785784
CH00;BE;91;13.77;72.1242;27.795;19.0638;9.5523;5.5947;5.5743;6.2985;5.7987;5.4519;878.73;1;42;0;690.0589526
CH00;CH;83;34.2;290.472;68.4;49.21;30.875;18.867;14.383;7.619;8.455;4.066;881.6;1;0;0;301.6124286
CH01;DE;44;9.3;44.6679;45.4026;27.9186;21.4179;13.9686;10.7601;9.1977;7.9515;6.8541;1261.08;1;32;0;721.0693588
CH00;DE;12;10.4;52.808;47.848;29.784;23.048;15.568;12.008;9.864;8.08;6.968;1258.4;2;32;0;1055.613479
FR01;PL;41;53.6;223.8604;96.1048;50.0892;42.3574;36.582;32.227;27.2958;19.0012;14.2174;1649.54;3;0;0;1273.530258
CH00;NL;50;14.63;67.1671;35.3199;24.9634;11.3729;6.5373;5.3207;7.7462;8.3853;6.6913;1298.22;2;38;0;721.8377432
CH01;IT;12;30.25;123.299;62.0972;17.9685;12.9833;9.1113;9.2807;11.2893;13.4552;12.4267;1857.35;1;38;0;278.8772838
CH01;HU;76;27.36;62.2155;39.558;21.7341;11.229;8.5899;8.4417;5.2554;4.332;5.5974;1151.4;4;36;0;1136.341304
FR01;HU;92;69.6;187.1776;97.3704;57.3852;36.7372;30.856;28.0952;16.4488;11.6464;12.122;2199.36;4;0;0;1038.146738
FR01;IT;26;54;216.135;93.825;39.015;32.67;27.405;24.57;19.98;17.28;15.255;2019.6;2;0;0;352.1703552
FR01;ES;30;42.88;131.712;53.312;28.16;20.992;14.4;11.584;8.192;5.376;4.032;776.32;4;0;0;1337.455285
FR01;FR;06;22.42;101.067;39.825;29.087;27.612;25.96;21.535;11.682;4.307;2.95;666.7;1;0;0;323.7790263
FR01;FR;45;75.24;339.174;133.65;97.614;92.664;87.12;72.27;39.204;14.454;9.9;2237.4;1;0;0;452.0086246
FR01;ES;08;64.99;199.626;80.801;42.68;31.816;21.825;17.557;12.416;8.148;6.111;1176.61;2;0;0;726.7090085
FR01;CH;69;59.5;365.75;95.9;69.125;51.625;39.55;31.675;16.975;11.2;6.125;820.75;2;36;0;247.5528219
FR01;CH;12;26.18;160.93;42.196;30.415;22.715;17.402;13.937;17.402;4.928;2.695;361.13;1;36;0;29.66660255
FR01;FR;54;55.48;250.098;98.55;71.978;68.328;64.24;53.29;28.908;10.658;7.3;1649.8;1;0;0;366.025708
CH01;BE;14;49.95;261.627;100.825;69.153;34.6505;20.2945;20.2205;22.8475;21.0345;19.7765;3187.55;1;42;0;611.0201981
CH00;BE;89;18.09;94.7514;36.515;25.0446;12.5491;7.3499;7.3231;8.2745;7.6179;7.1623;1154.41;1;42;0;683.1785962
CH00;IT;36;12.5;50.95;25.66;7.425;5.365;3.765;3.835;4.665;5.56;5.135;767.5;4;38;0;516.240353
CH01;DE;28;9.23;46.8671;42.4651;26.4333;20.4551;13.8166;10.6571;8.7543;7.171;6.1841;1116.83;1;32;0;954.042286
CH00;IT;31;46.25;188.515;94.942;27.4725;19.8505;13.9305;14.1895;17.2605;20.572;18.9995;2839.75;4;38;0;579.0362031
CH00;IT;28;36.75;149.793;75.4404;21.8295;15.7731;11.0691;11.2749;13.7151;16.3464;15.0969;2256.45;3;38;0;231.8760497
CH00;ES;09;57.77;163.0095;71.6239;33.3431;21.4621;10.7147;8.2513;7.8916;7.1286;5.5154;1351.6;4;38;0;1045.494884
CH00;FR;76;45.08;222.6168;96.5104;70.7952;67.2084;63.1904;52.43;28.4984;10.5644;7.252;2259.88;1;39;0;650.6774111
CH00;NL;30;34.96;160.5032;84.4008;59.6528;27.1768;15.6216;12.7144;18.5104;20.0376;15.9896;3102.24;2;38;0;779.7313966
CH00;FR;61;21.39;105.6294;45.7932;33.5916;31.8897;29.9832;24.8775;13.5222;5.0127;3.441;1072.29;2;39;0;633.5635594
CH00;ES;41;99.64;281.154;123.5348;57.5092;37.0172;18.4804;14.2316;13.6112;12.2952;9.5128;2331.2;4;38;0;1671.165308
CH00;BE;77;52.65;275.769;106.275;72.891;36.5235;21.3915;21.3135;24.0825;22.1715;20.8455;3359.85;1;42;0;653.9739212
CH00;FR;21;20.93;103.3578;44.8084;32.8692;31.2039;29.3384;24.3425;13.2314;4.9049;3.367;1049.23;1;39;0;192.0870869
CH00;SM;47;58.41;160.8453;90.7533;46.0746;25.7895;19.2258;20.1861;14.6025;14.5233;12.1275;2541.33;4;36;0;682.4827853
CH00;IT;15;22.75;92.729;46.7012;13.5135;9.7643;6.8523;6.9797;8.4903;10.1192;9.3457;1396.85;3;38;0;302.8447488
CH01;ES;34;43.46;122.631;53.8822;25.0838;16.1458;8.0606;6.2074;5.9368;5.3628;4.1492;1016.8;4;38;0;1136.213147
CH01;IT;33;44.5;181.382;91.3496;26.433;19.0994;13.4034;13.6526;16.6074;19.7936;18.2806;2732.3;4;38;0;652.2857285
CH00;DE;76;6.3;30.2589;30.7566;18.9126;14.5089;9.4626;7.2891;6.2307;5.3865;4.6431;854.28;1;32;0;429.6855735
CH00;DE;68;9.1;43.7073;44.4262;27.3182;20.9573;13.6682;10.5287;8.9999;7.7805;6.7067;1233.96;1;32;0;491.2678143
CH00;DE;77;18.6;89.3358;90.8052;55.8372;42.8358;27.9372;21.5202;18.3954;15.903;13.7082;2522.16;1;32;0;348.2894181
CH00;DE;97;7;33.621;34.174;21.014;16.121;10.514;8.099;6.923;5.985;5.159;949.2;1;32;0;615.7307204
CH01;DE;84;15.2;73.0056;74.2064;45.6304;35.0056;22.8304;17.5864;15.0328;12.996;11.2024;2061.12;2;32;0;651.9716602
CH01;DE;16;16.12;81.8524;74.1644;46.1652;35.7244;24.1304;18.6124;15.2892;12.524;10.8004;1950.52;1;32;0;1101.065226
CH01;DK;26;102.93;563.4783;226.8831;99.1935;102.2955;65.2689;64.5639;64.3665;41.1156;30.597;5472.21;4;36;0;1373.971349
FR01;DE;04;58;251.34;155.28;100.74;83.08;63.48;50.48;35.36;23.64;19.6;3066;2;0;0;905.766342
FR01;PL;32;44.4;152.6805;86.136;56.8764;41.847;29.4927;35.5533;25.4079;17.2494;11.7771;1359.75;3;0;0;1351.519019
FR01;PL;61;20.4;70.1505;39.576;26.1324;19.227;13.5507;16.3353;11.6739;7.9254;5.4111;624.75;3;0;0;1264.916247
CH00;PL;26;52;160.96;121.94;77.82;50.92;29.22;45.5;36.2;28.62;19.74;2542;2;33;0;1475.311211
CH00;PL;95;20.5;134.2094;48.38;28.3966;21.9514;12.9724;14.432;15.9162;11.7342;8.0934;1046.32;2;33;0;1405.45341
CH00;CZ;41;102.44;239.5323;153.7979;87.3695;48.5408;32.0913;31.1457;18.7544;19.1287;19.6606;3486.9;4;36;0;922.8763939
CH00;CZ;53;55.64;130.1013;83.5349;47.4545;26.3648;17.4303;16.9167;10.1864;10.3897;10.6786;1893.9;4;36;0;1009.695999
CH00;AT;45;38.08;119.1232;73.3936;28.1008;25.2672;18.6032;23.8112;23.1056;19.936;13.3392;1365.28;2;36;0;785.1481711
CH01;PL;80;40.04;172.1566;84.2842;37.3296;29.0906;23.5158;21.8834;23.9778;19.8506;15.1998;1965.04;2;33;0;1537.686613
CH01;SK;01;47.57;111.1999;72.6079;39.3357;21.9425;13.7417;11.926;7.7117;8.1539;8.2678;1378.19;4;36;0;1202.108816
CH01;PL;41;24.18;103.9647;50.8989;22.5432;17.5677;14.2011;13.2153;14.4801;11.9877;9.1791;1186.68;2;33;0;1282.305784
CH00;HU;55;48.96;111.333;70.788;38.8926;20.094;15.3714;15.1062;9.4044;8.7414;10.0164;2060.4;4;36;0;1390.142107
CH01;HU;82;40.8;92.7775;58.99;32.4105;16.745;12.8095;12.5885;7.837;6.375;8.347;1717;4;36;0;1081.897817
FR01;ES;34;108.54;333.396;134.946;71.28;53.136;36.45;29.322;20.736;13.608;10.206;1965.06;4;0;0;1149.402337
FR01;CH;83;67.66;415.91;109.052;78.605;58.705;44.974;36.019;19.303;12.736;6.965;933.31;2;36;0;295.7488652
FR01;FR;67;56.24;253.524;99.9;72.964;69.264;65.12;54.02;29.304;10.804;7.4;1672.4;1;0;0;367.1794295
FR01;FR;14;73.34;330.609;130.275;95.149;90.324;84.92;70.445;38.214;14.089;9.65;2180.9;2;0;0;731.04519
FR01;FR;60;58.52;263.802;103.95;75.922;72.072;67.76;56.21;30.492;11.242;7.7;1740.2;1;0;0;569.6713038
FR01;FR;95;55.86;251.811;99.225;72.471;68.796;64.68;53.655;29.106;10.731;7.35;1661.1;1;0;0;543.9205804
FR01;IT;00;42;168.105;72.975;30.345;25.41;21.315;19.11;15.54;13.44;11.865;1570.8;5;0;0;827.4507624
CHS1;RO;03;69.3;173.0925;116.718;62.496;35.826;26.9745;25.0425;15.6975;15.729;15.813;2842.35;5;36;0;1918.282368
CH00;FR;51;15.64;77.2344;33.4832;24.5616;23.3172;21.9232;18.19;9.8872;3.6652;2.516;784.04;1;39;0;410.6674161
CH00;IT;35;32.75;133.489;67.2292;19.4535;14.0563;9.8643;10.0477;12.2223;14.5672;13.4537;2010.85;4;38;0;554.2468826
CH00;ES;19;41.34;116.649;51.2538;23.8602;15.3582;7.6674;5.9046;5.6472;5.1012;3.9468;967.2;3;38;0;1121.26962
CH00;FR;84;45.31;223.7526;97.0028;71.1564;67.5513;63.5128;52.6975;28.6438;10.6183;7.289;2271.41;1;39;0;314.9700734
CH00;DE;69;16.1;77.3283;78.6002;48.3322;37.0783;24.1822;18.6277;15.9229;13.7655;11.8657;2183.16;1;32;0;493.200368
CH01;CH;13;34.56;293.5296;69.12;49.728;31.2;19.0656;14.5344;7.6992;8.544;4.1088;890.88;1;0;0;71.09534566
CH00;RU;30;504;1587.944;753.048;376.704;211.112;129.72;80.792;48.208;35.232;29.496;4526.4;10;66;0;2884.708531
CH00;FR;85;19.55;96.543;41.854;30.702;29.1465;27.404;22.7375;12.359;4.5815;3.145;980.05;2;39;0;685.5972472
CH00;IT;22;21.25;86.615;43.622;12.6225;9.1205;6.4005;6.5195;7.9305;9.452;8.7295;1304.75;2;38;0;291.4232886
CH00;IT;10;50;203.8;102.64;29.7;21.46;15.06;15.34;18.66;22.24;20.54;3070;3;38;0;202.0426791
CH00;FR;56;32.66;161.2836;69.9208;51.2904;48.6918;45.7808;37.985;20.6468;7.6538;5.254;1637.26;2;39;0;844.8996615
CH00;IT;42;33.25;135.527;68.2556;19.7505;14.2709;10.0149;10.2011;12.4089;14.7896;13.6591;2041.55;3;38;0;478.2526057
CH00;PT;38;74.4;335.854;135.1445;58.7295;52.173;37.3705;34.038;35.464;35.8205;30.4575;6165.9;5;38;0;1611.705622
CH01;NL;80;11.78;54.0826;28.4394;20.1004;9.1574;5.2638;4.2842;6.2372;6.7518;5.3878;1045.32;2;38;0;843.0508257
CH01;FR;52;44.62;220.3452;95.5256;70.0728;66.5226;62.5456;51.895;28.2076;10.4566;7.178;2236.82;1;39;0;266.8116335
CH01;NL;56;18.62;85.4854;44.9526;31.7716;14.4746;8.3202;6.7718;9.8588;10.6722;8.5162;1652.28;2;38;0;706.8040024
CH01;FR;30;28.29;139.7034;60.5652;44.4276;42.1767;39.6552;32.9025;17.8842;6.6297;4.551;1418.19;1;39;0;345.4111897
CH01;FR;86;15.64;77.2344;33.4832;24.5616;23.3172;21.9232;18.19;9.8872;3.6652;2.516;784.04;2;39;0;529.2337296
CH01;ES;47;54.06;152.541;67.0242;31.2018;20.0838;10.0266;7.7214;7.3848;6.6708;5.1612;1264.8;4;38;0;1219.688317
CH01;IT;64;30;122.28;61.584;17.82;12.876;9.036;9.204;11.196;13.344;12.324;1842;4;38;0;882.8392003
CH00;DE;82;7.8;37.4634;38.0796;23.4156;17.9634;11.7156;9.0246;7.7142;6.669;5.7486;1057.68;1;32;0;531.0256317
CH01;DK;53;89.06;296.0588;201.3632;138.4956;99.864;63.4516;53.1732;56.6188;36.6752;27.5356;4727.48;3;36;0;1304.277767
CH01;DK;71;41.48;137.8904;93.7856;64.5048;46.512;29.5528;24.7656;26.3704;17.0816;12.8248;2201.84;3;36;0;1315.997855
CH01;DK;82;44.53;148.0294;100.6816;69.2478;49.932;31.7258;26.5866;28.3094;18.3376;13.7678;2363.74;3;36;0;1383.900661
CH01;DE;42;10.1;48.5103;49.3082;30.3202;23.2603;15.1702;11.6857;9.9889;8.6355;7.4437;1369.56;1;32;0;678.7813315
FR01;DE;67;50.75;219.9225;135.87;88.1475;72.695;55.545;44.17;30.94;20.685;17.15;2682.75;1;0;0;491.249901
FR01;DE;39;18.2;75.894;46.97;30.415;25.2;19.236;15.358;10.738;7.231;5.964;927.5;1;0;0;966.1976731
CH00;PL;02;31.2;134.148;65.676;29.088;22.668;18.324;17.052;18.684;15.468;11.844;1531.2;2;33;0;1538.480103
CH00;HR;31;51.35;123.7219;82.8394;47.8819;27.8633;19.8132;18.9126;12.5689;11.2654;11.2259;2362.89;5;88;0;1160.72567
CH00;BG;97;89.54;211.8831;150.1852;77.1133;44.3465;29.9475;23.5103;15.8994;16.8674;16.698;3038.31;5;36;0;2024.656855
CH00;AT;61;42.55;230.828;96.991;44.528;31.004;22.655;21.781;18.538;17.8135;15.088;1689.35;3;36;0;515.2305059
CH00;BG;41;93.6;219.7416;156.312;81.4944;46.722;32.9784;28.158;19.0164;20.4204;20.358;3698.76;5;36;0;1885.438015
CH00;PL;22;49.4;152.912;115.843;73.929;48.374;27.759;43.225;34.39;27.189;18.753;2414.9;2;33;0;1669.52933
CH00;SK;93;83.2;197.7344;126.8864;69.2352;36.9664;22.5408;19.072;12.1216;13.6576;13.8752;2256.64;4;36;0;1144.906244
CH01;PL;34;30.16;93.3568;70.7252;45.1356;29.5336;16.9476;26.39;20.996;16.5996;11.4492;1474.36;2;33;0;1328.198937
CH01;AT;94;70.67;383.3752;161.0894;73.9552;51.4936;37.627;36.1754;30.7892;29.5859;25.0592;2805.79;2;36;0;820.0671524
CH01;PL;99;19;124.3892;44.84;26.3188;20.3452;12.0232;13.376;14.7516;10.8756;7.5012;969.76;2;33;0;1409.67888
CH01;AT;67;22.57;122.4392;51.4474;23.6192;16.4456;12.017;11.5534;9.8332;9.4489;8.0032;896.09;2;36;0;379.1360393
CH01;PL;43;20.28;87.1962;42.6894;18.9072;14.7342;11.9106;11.0838;12.1446;10.0542;7.6986;995.28;2;33;0;1258.194043
