Lane ID / -,Dep.shipping point,Ship to Country code,Ship to Country name,Ship to simplified postcode 2 digits,Minimum,<=50kg,<=100kg,<=200,<=400,<=800,<=1500,<=5000,<=10000,<=15000,FTL,Sample shipment (no minimum calculation),Custom Clearance,DG Surcharge per shipment,
CH00-EG-DE-14-,CH,DE,Germany,14,20.41 GBP / shipm.,103.64 GBP / 100kg,93.90 GBP / 100kg,58.45 GBP / 100kg,45.23 GBP / 100kg,30.55 GBP / 100kg,23.57 GBP / 100kg,19.36 GBP / 100kg,15.86 GBP / 100kg,13.67 GBP / 100kg,"2,469.61 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-PT-21-,CH,PT,Portugal,21,57.12 GBP / shipm.,257.85 GBP / 100kg,103.76 GBP / 100kg,45.09 GBP / 100kg,40.06 GBP / 100kg,28.69 GBP / 100kg,26.13 GBP / 100kg,27.23 GBP / 100kg,27.50 GBP / 100kg,23.38 GBP / 100kg,"4,733.82 GBP / shipm.",65.00 EUR / shipm.,38.00 EUR / shipm.,,
CHS1-EG-RO-07-,CH,RO,Romania,07,95.70 GBP / shipm.,239.03 GBP / 100kg,161.18 GBP / 100kg,86.30 GBP / 100kg,49.47 GBP / 100kg,37.25 GBP / 100kg,34.58 GBP / 100kg,21.68 GBP / 100kg,21.72 GBP / 100kg,21.84 GBP / 100kg,"3,925.15 GBP / shipm.",53.00 EUR / shipm.,36.00 EUR / shipm.,,
CH04-EG-DE-52-,CH,DE,Germany,52,18.00 GBP / shipm.,86.45 GBP / 100kg,87.88 GBP / 100kg,54.04 GBP / 100kg,41.45 GBP / 100kg,27.04 GBP / 100kg,20.83 GBP / 100kg,17.80 GBP / 100kg,15.39 GBP / 100kg,13.27 GBP / 100kg,"2,440.80 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-CH-12-,CH,CH,Switzerland,12,13.86 GBP / shipm.,117.72 GBP / 100kg,27.72 GBP / 100kg,19.94 GBP / 100kg,12.51 GBP / 100kg,7.65 GBP / 100kg,5.83 GBP / 100kg,3.09 GBP / 100kg,3.43 GBP / 100kg,1.65 GBP / 100kg,357.28 GBP / shipm.,49.00 EUR / shipm.,0.00 EUR / shipm.,,
CH00-IG-FR-06-,CH,FR,France,06,32.20 GBP / shipm.,159.01 GBP / 100kg,68.94 GBP / 100kg,50.57 GBP / 100kg,48.01 GBP / 100kg,45.14 GBP / 100kg,37.45 GBP / 100kg,20.36 GBP / 100kg,7.55 GBP / 100kg,5.18 GBP / 100kg,"1,614.20 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-FR-28-,CH,FR,France,28,26.68 GBP / shipm.,131.75 GBP / 100kg,57.12 GBP / 100kg,41.90 GBP / 100kg,39.78 GBP / 100kg,37.40 GBP / 100kg,31.03 GBP / 100kg,16.87 GBP / 100kg,6.25 GBP / 100kg,4.29 GBP / 100kg,"1,337.48 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-FR-93-,CH,FR,France,93,15.64 GBP / shipm.,77.23 GBP / 100kg,33.48 GBP / 100kg,24.56 GBP / 100kg,23.32 GBP / 100kg,21.92 GBP / 100kg,18.19 GBP / 100kg,9.89 GBP / 100kg,3.67 GBP / 100kg,2.52 GBP / 100kg,784.04 GBP / shipm.,52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-ES-18-,CH,ES,Spain,18,84.80 GBP / shipm.,239.28 GBP / 100kg,105.14 GBP / 100kg,48.94 GBP / 100kg,31.50 GBP / 100kg,15.73 GBP / 100kg,12.11 GBP / 100kg,11.58 GBP / 100kg,10.46 GBP / 100kg,8.10 GBP / 100kg,"1,984.00 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-BE-22-,CH,BE,Belgium,22,29.97 GBP / shipm.,156.98 GBP / 100kg,60.50 GBP / 100kg,41.49 GBP / 100kg,20.79 GBP / 100kg,12.18 GBP / 100kg,12.13 GBP / 100kg,13.71 GBP / 100kg,12.62 GBP / 100kg,11.87 GBP / 100kg,"1,912.53 GBP / shipm.",57.00 EUR / shipm.,42.00 EUR / shipm.,,
CH00-EG-IT-40-,CH,IT,Italy,40,45.50 GBP / shipm.,185.46 GBP / 100kg,93.40 GBP / 100kg,27.03 GBP / 100kg,19.53 GBP / 100kg,13.70 GBP / 100kg,13.96 GBP / 100kg,16.98 GBP / 100kg,20.24 GBP / 100kg,18.69 GBP / 100kg,"2,793.70 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH04-EG-FR-45-,CH,FR,France,45,14.72 GBP / shipm.,72.69 GBP / 100kg,31.51 GBP / 100kg,23.12 GBP / 100kg,21.95 GBP / 100kg,20.63 GBP / 100kg,17.12 GBP / 100kg,9.31 GBP / 100kg,3.45 GBP / 100kg,2.37 GBP / 100kg,737.92 GBP / shipm.,52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH04-EG-FR-77-,CH,FR,France,77,15.18 GBP / shipm.,74.96 GBP / 100kg,32.50 GBP / 100kg,23.84 GBP / 100kg,22.63 GBP / 100kg,21.28 GBP / 100kg,17.66 GBP / 100kg,9.60 GBP / 100kg,3.56 GBP / 100kg,2.44 GBP / 100kg,760.98 GBP / shipm.,52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH04-EG-DE-53-,CH,DE,Germany,53,9.90 GBP / shipm.,47.55 GBP / 100kg,48.33 GBP / 100kg,29.72 GBP / 100kg,22.80 GBP / 100kg,14.87 GBP / 100kg,11.45 GBP / 100kg,9.79 GBP / 100kg,8.46 GBP / 100kg,7.30 GBP / 100kg,"1,342.44 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-FR-95-,CH,FR,France,95,38.41 GBP / shipm.,189.68 GBP / 100kg,82.23 GBP / 100kg,60.32 GBP / 100kg,57.26 GBP / 100kg,53.84 GBP / 100kg,44.67 GBP / 100kg,24.28 GBP / 100kg,9.00 GBP / 100kg,6.18 GBP / 100kg,"1,925.51 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH02-EG-FR-40-,CH,FR,France,40,20.70 GBP / shipm.,102.22 GBP / 100kg,44.32 GBP / 100kg,32.51 GBP / 100kg,30.86 GBP / 100kg,29.02 GBP / 100kg,24.08 GBP / 100kg,13.09 GBP / 100kg,4.85 GBP / 100kg,3.33 GBP / 100kg,"1,037.70 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-PL-98-,CH,PL,Poland,98,44.00 GBP / shipm.,288.06 GBP / 100kg,103.84 GBP / 100kg,60.95 GBP / 100kg,47.12 GBP / 100kg,27.84 GBP / 100kg,30.98 GBP / 100kg,34.16 GBP / 100kg,25.19 GBP / 100kg,17.37 GBP / 100kg,"2,245.76 GBP / shipm.",49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH00-EG-PL-97-,CH,PL,Poland,97,44.50 GBP / shipm.,291.33 GBP / 100kg,105.02 GBP / 100kg,61.64 GBP / 100kg,47.65 GBP / 100kg,28.16 GBP / 100kg,31.33 GBP / 100kg,34.55 GBP / 100kg,25.47 GBP / 100kg,17.57 GBP / 100kg,"2,271.28 GBP / shipm.",49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH01-EG-PL-62-,CH,PL,Poland,62,42.64 GBP / shipm.,131.99 GBP / 100kg,99.99 GBP / 100kg,63.81 GBP / 100kg,41.75 GBP / 100kg,23.96 GBP / 100kg,37.31 GBP / 100kg,29.68 GBP / 100kg,23.47 GBP / 100kg,16.19 GBP / 100kg,"2,084.44 GBP / shipm.",49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH01-EG-PL-07-,CH,PL,Poland,07,19.76 GBP / shipm.,84.96 GBP / 100kg,41.59 GBP / 100kg,18.42 GBP / 100kg,14.36 GBP / 100kg,11.61 GBP / 100kg,10.80 GBP / 100kg,11.83 GBP / 100kg,9.80 GBP / 100kg,7.50 GBP / 100kg,969.76 GBP / shipm.,49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH01-EG-PL-09-,CH,PL,Poland,09,17.16 GBP / shipm.,73.78 GBP / 100kg,36.12 GBP / 100kg,16.00 GBP / 100kg,12.47 GBP / 100kg,10.08 GBP / 100kg,9.38 GBP / 100kg,10.28 GBP / 100kg,8.51 GBP / 100kg,6.51 GBP / 100kg,842.16 GBP / shipm.,49.00 EUR / shipm.,33.00 EUR / shipm.,,
CH00-EG-FR-14-,CH,FR,France,14,35.42 GBP / shipm.,174.91 GBP / 100kg,75.83 GBP / 100kg,55.62 GBP / 100kg,52.81 GBP / 100kg,49.65 GBP / 100kg,41.20 GBP / 100kg,22.39 GBP / 100kg,8.30 GBP / 100kg,5.70 GBP / 100kg,"1,775.62 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-TR-59-,CH,TR,Turkey,59,125.66 GBP / shipm.,251.01 GBP / 100kg,128.32 GBP / 100kg,63.26 GBP / 100kg,29.75 GBP / 100kg,14.26 GBP / 100kg,10.68 GBP / 100kg,11.58 GBP / 100kg,12.66 GBP / 100kg,12.05 GBP / 100kg,"2,499.78 GBP / shipm.",139.00 EUR / shipm.,0.00 EUR / shipm.,,
CH00-EG-TR-41-,CH,TR,Turkey,41,199.82 GBP / shipm.,399.15 GBP / 100kg,204.05 GBP / 100kg,100.60 GBP / 100kg,47.31 GBP / 100kg,22.68 GBP / 100kg,16.98 GBP / 100kg,18.42 GBP / 100kg,20.13 GBP / 100kg,19.17 GBP / 100kg,"3,975.06 GBP / shipm.",139.00 EUR / shipm.,0.00 EUR / shipm.,,
CH00-EG-IT-24-,CH,IT,Italy,24,33.25 GBP / shipm.,135.53 GBP / 100kg,68.26 GBP / 100kg,19.75 GBP / 100kg,14.27 GBP / 100kg,10.01 GBP / 100kg,10.20 GBP / 100kg,12.41 GBP / 100kg,14.79 GBP / 100kg,13.66 GBP / 100kg,"2,041.55 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-IT-50-,CH,IT,Italy,50,32.75 GBP / shipm.,133.49 GBP / 100kg,67.23 GBP / 100kg,19.45 GBP / 100kg,14.06 GBP / 100kg,9.86 GBP / 100kg,10.05 GBP / 100kg,12.22 GBP / 100kg,14.57 GBP / 100kg,13.45 GBP / 100kg,"2,010.85 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-IT-25-,CH,IT,Italy,25,41.75 GBP / shipm.,170.17 GBP / 100kg,85.70 GBP / 100kg,24.80 GBP / 100kg,17.92 GBP / 100kg,12.58 GBP / 100kg,12.81 GBP / 100kg,15.58 GBP / 100kg,18.57 GBP / 100kg,17.15 GBP / 100kg,"2,563.45 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-ES-30-,CH,ES,Spain,30,37.63 GBP / shipm.,106.18 GBP / 100kg,46.65 GBP / 100kg,21.72 GBP / 100kg,13.98 GBP / 100kg,6.98 GBP / 100kg,5.37 GBP / 100kg,5.14 GBP / 100kg,4.64 GBP / 100kg,3.59 GBP / 100kg,880.40 GBP / shipm.,53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-ES-17-,CH,ES,Spain,17,90.10 GBP / shipm.,254.24 GBP / 100kg,111.71 GBP / 100kg,52.00 GBP / 100kg,33.47 GBP / 100kg,16.71 GBP / 100kg,12.87 GBP / 100kg,12.31 GBP / 100kg,11.12 GBP / 100kg,8.60 GBP / 100kg,"2,108.00 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-ES-28-,CH,ES,Spain,28,64.13 GBP / shipm.,180.96 GBP / 100kg,79.51 GBP / 100kg,37.01 GBP / 100kg,23.82 GBP / 100kg,11.89 GBP / 100kg,9.16 GBP / 100kg,8.76 GBP / 100kg,7.91 GBP / 100kg,6.12 GBP / 100kg,"1,500.40 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-ES-29-,CH,ES,Spain,29,73.14 GBP / shipm.,206.38 GBP / 100kg,90.68 GBP / 100kg,42.21 GBP / 100kg,27.17 GBP / 100kg,13.57 GBP / 100kg,10.45 GBP / 100kg,9.99 GBP / 100kg,9.03 GBP / 100kg,6.98 GBP / 100kg,"1,711.20 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-NL-14-,CH,NL,Netherlands,14,26.60 GBP / shipm.,122.12 GBP / 100kg,64.22 GBP / 100kg,45.39 GBP / 100kg,20.68 GBP / 100kg,11.89 GBP / 100kg,9.67 GBP / 100kg,14.08 GBP / 100kg,15.25 GBP / 100kg,12.17 GBP / 100kg,"2,360.40 GBP / shipm.",66.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-49-,CH,FR,France,49,13.57 GBP / shipm.,67.01 GBP / 100kg,29.05 GBP / 100kg,21.31 GBP / 100kg,20.23 GBP / 100kg,19.02 GBP / 100kg,15.78 GBP / 100kg,8.58 GBP / 100kg,3.18 GBP / 100kg,2.18 GBP / 100kg,680.27 GBP / shipm.,52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-BE-68-,CH,BE,Belgium,68,42.12 GBP / shipm.,220.62 GBP / 100kg,85.02 GBP / 100kg,58.31 GBP / 100kg,29.22 GBP / 100kg,17.11 GBP / 100kg,17.05 GBP / 100kg,19.27 GBP / 100kg,17.74 GBP / 100kg,16.68 GBP / 100kg,"2,687.88 GBP / shipm.",57.00 EUR / shipm.,42.00 EUR / shipm.,,
CH00-EG-IT-30-,CH,IT,Italy,30,36.25 GBP / shipm.,147.76 GBP / 100kg,74.41 GBP / 100kg,21.53 GBP / 100kg,15.56 GBP / 100kg,10.92 GBP / 100kg,11.12 GBP / 100kg,13.53 GBP / 100kg,16.12 GBP / 100kg,14.89 GBP / 100kg,"2,225.75 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-27-,CH,FR,France,27,24.61 GBP / shipm.,121.53 GBP / 100kg,52.69 GBP / 100kg,38.65 GBP / 100kg,36.69 GBP / 100kg,34.50 GBP / 100kg,28.62 GBP / 100kg,15.56 GBP / 100kg,5.77 GBP / 100kg,3.96 GBP / 100kg,"1,233.71 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-FR-59-,CH,FR,France,59,22.77 GBP / shipm.,112.44 GBP / 100kg,48.75 GBP / 100kg,35.76 GBP / 100kg,33.95 GBP / 100kg,31.92 GBP / 100kg,26.48 GBP / 100kg,14.39 GBP / 100kg,5.34 GBP / 100kg,3.66 GBP / 100kg,"1,141.47 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-FR-24-,CH,FR,France,24,12.88 GBP / shipm.,63.60 GBP / 100kg,27.57 GBP / 100kg,20.23 GBP / 100kg,19.20 GBP / 100kg,18.05 GBP / 100kg,14.98 GBP / 100kg,8.14 GBP / 100kg,3.02 GBP / 100kg,2.07 GBP / 100kg,645.68 GBP / shipm.,52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-FR-78-,CH,FR,France,78,26.68 GBP / shipm.,131.75 GBP / 100kg,57.12 GBP / 100kg,41.90 GBP / 100kg,39.78 GBP / 100kg,37.40 GBP / 100kg,31.03 GBP / 100kg,16.87 GBP / 100kg,6.25 GBP / 100kg,4.29 GBP / 100kg,"1,337.48 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-NL-64-,CH,NL,Netherlands,64,33.44 GBP / shipm.,153.52 GBP / 100kg,80.73 GBP / 100kg,57.06 GBP / 100kg,26.00 GBP / 100kg,14.94 GBP / 100kg,12.16 GBP / 100kg,17.71 GBP / 100kg,19.17 GBP / 100kg,15.29 GBP / 100kg,"2,967.36 GBP / shipm.",66.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-FR-07-,CH,FR,France,07,28.29 GBP / shipm.,139.70 GBP / 100kg,60.57 GBP / 100kg,44.43 GBP / 100kg,42.18 GBP / 100kg,39.66 GBP / 100kg,32.90 GBP / 100kg,17.88 GBP / 100kg,6.63 GBP / 100kg,4.55 GBP / 100kg,"1,418.19 GBP / shipm.",52.00 EUR / shipm.,39.00 EUR / shipm.,,
CH00-EG-IT-46-,CH,IT,Italy,46,27.00 GBP / shipm.,110.05 GBP / 100kg,55.43 GBP / 100kg,16.04 GBP / 100kg,11.59 GBP / 100kg,8.13 GBP / 100kg,8.28 GBP / 100kg,10.08 GBP / 100kg,12.01 GBP / 100kg,11.09 GBP / 100kg,"1,657.80 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-ES-06-,CH,ES,Spain,06,44.52 GBP / shipm.,125.62 GBP / 100kg,55.20 GBP / 100kg,25.70 GBP / 100kg,16.54 GBP / 100kg,8.26 GBP / 100kg,6.36 GBP / 100kg,6.08 GBP / 100kg,5.49 GBP / 100kg,4.25 GBP / 100kg,"1,041.60 GBP / shipm.",53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH00-EG-IT-38-,CH,IT,Italy,38,39.00 GBP / shipm.,158.96 GBP / 100kg,80.06 GBP / 100kg,23.17 GBP / 100kg,16.74 GBP / 100kg,11.75 GBP / 100kg,11.97 GBP / 100kg,14.55 GBP / 100kg,17.35 GBP / 100kg,16.02 GBP / 100kg,"2,394.60 GBP / shipm.",51.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-ES-46-,CH,ES,Spain,46,35.51 GBP / shipm.,100.20 GBP / 100kg,44.03 GBP / 100kg,20.50 GBP / 100kg,13.19 GBP / 100kg,6.59 GBP / 100kg,5.07 GBP / 100kg,4.85 GBP / 100kg,4.38 GBP / 100kg,3.39 GBP / 100kg,830.80 GBP / shipm.,53.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-BE-35-,CH,BE,Belgium,35,45.09 GBP / shipm.,236.17 GBP / 100kg,91.02 GBP / 100kg,62.42 GBP / 100kg,31.28 GBP / 100kg,18.32 GBP / 100kg,18.25 GBP / 100kg,20.62 GBP / 100kg,18.99 GBP / 100kg,17.85 GBP / 100kg,"2,877.41 GBP / shipm.",57.00 EUR / shipm.,42.00 EUR / shipm.,,
CH01-EG-PT-62-,CH,PT,Portugal,62,25.44 GBP / shipm.,114.84 GBP / 100kg,46.21 GBP / 100kg,20.08 GBP / 100kg,17.84 GBP / 100kg,12.78 GBP / 100kg,11.64 GBP / 100kg,12.13 GBP / 100kg,12.25 GBP / 100kg,10.41 GBP / 100kg,"2,108.34 GBP / shipm.",65.00 EUR / shipm.,38.00 EUR / shipm.,,
CH01-EG-BE-21-,CH,BE,Belgium,21,25.11 GBP / shipm.,131.52 GBP / 100kg,50.69 GBP / 100kg,34.76 GBP / 100kg,17.42 GBP / 100kg,10.20 GBP / 100kg,10.16 GBP / 100kg,11.49 GBP / 100kg,10.57 GBP / 100kg,9.94 GBP / 100kg,"1,602.39 GBP / shipm.",57.00 EUR / shipm.,42.00 EUR / shipm.,,
CH00-EG-SE-17-,CH,SE,Sweden,17,270.72 GBP / shipm.,"1,104.73 GBP / 100kg",453.10 GBP / 100kg,257.59 GBP / 100kg,168.56 GBP / 100kg,139.35 GBP / 100kg,123.11 GBP / 100kg,94.58 GBP / 100kg,68.04 GBP / 100kg,59.25 GBP / 100kg,"10,368.00 GBP / shipm.",32.00 EUR / shipm.,36.00 EUR / shipm.,,
CH00-EG-DE-20-,CH,DE,Germany,20,8.45 GBP / shipm.,42.91 GBP / 100kg,38.88 GBP / 100kg,24.20 GBP / 100kg,18.73 GBP / 100kg,12.65 GBP / 100kg,9.76 GBP / 100kg,8.01 GBP / 100kg,6.57 GBP / 100kg,5.66 GBP / 100kg,"1,022.45 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-DE-04-,CH,DE,Germany,04,7.80 GBP / shipm.,39.61 GBP / 100kg,35.89 GBP / 100kg,22.34 GBP / 100kg,17.29 GBP / 100kg,11.68 GBP / 100kg,9.01 GBP / 100kg,7.40 GBP / 100kg,6.06 GBP / 100kg,5.23 GBP / 100kg,943.80 GBP / shipm.,67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-DE-22-,CH,DE,Germany,22,12.35 GBP / shipm.,62.71 GBP / 100kg,56.82 GBP / 100kg,35.37 GBP / 100kg,27.37 GBP / 100kg,18.49 GBP / 100kg,14.26 GBP / 100kg,11.71 GBP / 100kg,9.60 GBP / 100kg,8.27 GBP / 100kg,"1,494.35 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-DE-36-,CH,DE,Germany,36,17.00 GBP / shipm.,81.65 GBP / 100kg,82.99 GBP / 100kg,51.03 GBP / 100kg,39.15 GBP / 100kg,25.53 GBP / 100kg,19.67 GBP / 100kg,16.81 GBP / 100kg,14.54 GBP / 100kg,12.53 GBP / 100kg,"2,305.20 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-CH-88-,CH,CH,Switzerland,88,19.80 GBP / shipm.,168.17 GBP / 100kg,39.60 GBP / 100kg,28.49 GBP / 100kg,17.88 GBP / 100kg,10.92 GBP / 100kg,8.33 GBP / 100kg,4.41 GBP / 100kg,4.90 GBP / 100kg,2.35 GBP / 100kg,510.40 GBP / shipm.,49.00 EUR / shipm.,0.00 EUR / shipm.,,
CH00-EG-DE-37-,CH,DE,Germany,37,10.60 GBP / shipm.,50.91 GBP / 100kg,51.75 GBP / 100kg,31.82 GBP / 100kg,24.41 GBP / 100kg,15.92 GBP / 100kg,12.26 GBP / 100kg,10.48 GBP / 100kg,9.06 GBP / 100kg,7.81 GBP / 100kg,"1,437.36 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-DE-56-,CH,DE,Germany,56,10.40 GBP / shipm.,49.95 GBP / 100kg,50.77 GBP / 100kg,31.22 GBP / 100kg,23.95 GBP / 100kg,15.62 GBP / 100kg,12.03 GBP / 100kg,10.29 GBP / 100kg,8.89 GBP / 100kg,7.66 GBP / 100kg,"1,410.24 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-DE-41-,CH,DE,Germany,41,9.40 GBP / shipm.,45.15 GBP / 100kg,45.89 GBP / 100kg,28.22 GBP / 100kg,21.65 GBP / 100kg,14.12 GBP / 100kg,10.88 GBP / 100kg,9.30 GBP / 100kg,8.04 GBP / 100kg,6.93 GBP / 100kg,"1,274.64 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-DE-47-,CH,DE,Germany,47,16.60 GBP / shipm.,79.73 GBP / 100kg,81.04 GBP / 100kg,49.83 GBP / 100kg,38.23 GBP / 100kg,24.93 GBP / 100kg,19.21 GBP / 100kg,16.42 GBP / 100kg,14.19 GBP / 100kg,12.23 GBP / 100kg,"2,250.96 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
CH00-EG-DE-64-,CH,DE,Germany,64,17.70 GBP / shipm.,85.01 GBP / 100kg,86.41 GBP / 100kg,53.14 GBP / 100kg,40.76 GBP / 100kg,26.59 GBP / 100kg,20.48 GBP / 100kg,17.51 GBP / 100kg,15.13 GBP / 100kg,13.04 GBP / 100kg,"2,400.12 GBP / shipm.",67.00 EUR / shipm.,32.00 EUR / shipm.,,
